CACode,VaCode,Estimate,ASE,Flag
C01T,V01A,44.3,1.4,
C01T,V01B,45,1.4,
C01T,V01C,6.5,0.7,
C01T,V01D,4.2,0.5,
C01T,V02A,2.9,0.6,
C01T,V02B,9.1,1,
C01T,V02C,84.5,1.5,
C01T,V02D,2.3,0.4,
C01T,V02E,1.3,0.3,
C01T,V03A,56.2,1.6,
C01T,V03B,37.1,1.4,
C01T,V03C,4.5,0.6,
C01T,V03D,2.2,0.4,
C01T,V04A,10.1,0.9,
C01T,V04B,6.9,0.7,
C01T,V04C,20.7,1.3,
C01T,V04D,11.5,0.9,
C01T,V04E,16.4,0.9,
C01T,V04F,14.1,0.9,
C01T,V04G,5.8,0.6,
C01T,V04H,14.5,1,
C01T,V04M,6.5,0.1,
C01T,V05A,21.2,1.2,
C01T,V05B,29.1,1.2,
C01T,V05C,45.4,1.6,
C01T,V05D,4.3,0.5,
C01T,V06A,3.6,0.4,
C01T,V06B,30.5,1.3,
C01T,V06C,65.9,1.3,
C01T,V07A,35.8,1.4,
C01T,V07B,64.2,1.4,
C01T,V08A,16.7,1.8,
C01T,V08B,28.3,2,
C01T,V08C,55,2.4,
C01T,V09A,30.5,1.5,
C01T,V09B,50.8,1.4,
C01T,V09C,14.5,1,
C01T,V09D,4.2,0.5,
C01T,V10A,61.5,3.9,
C01T,V11A,16.9,2.9,
C01T,V12A,37.5,4.4,
C01T,V13A,15.3,3.8,
C01T,V14A,54.1,5.3,
C01T,V15A,22.1,4.9,
C01T,V16A,17.3,3.5,
C01T,V17A,86.6,1,
C01T,V17B,9,0.9,
C01T,V17C,2.2,0.4,
C01T,V17D,2.1,0.4,
C01T,V18A,74.6,1.5,
C01T,V18B,17,1.4,
C01T,V18C,4.3,0.6,
C01T,V18D,3.2,0.4,
C01T,V18E,0.9,0.3,
C01T,V19A,3,0.5,
C01T,V19B,10.3,0.9,
C01T,V19C,9.6,0.9,
C01T,V19D,77.2,1.3,
C01T,V20A,39.5,3.3,
C01T,V21A,37.2,3,
C01T,V22A,12.8,2.5,
C01T,V23A,24.3,3.1,
C01T,V24A,38.5,1.7,
C01T,V24B,14.9,1.1,
C01T,V24C,7.4,0.8,
C01T,V24D,2.8,0.5,
C01T,V24E,30.8,1.8,
C01T,V24F,5.6,0.7,
C01T,V25A,51.6,1.6,
C01T,V25B,25,1.3,
C01T,V25C,12.8,1,
C01T,V25D,5.6,0.8,
C01T,V25E,5.1,0.7,
C01T,V26A,53.6,3.1,
C01T,V27A,32.1,2.8,
C01T,V28A,23.6,2.5,
C01T,V29A,25.1,2.6,
C01T,V29B,56.2,3.3,
C01T,V29C,2.3,0.7,
C01T,V29D,8.2,1.9,
C01T,V29E,8.2,1.3,
C01T,V30A,17.8,1.2,
C01T,V30B,10.6,0.9,
C01T,V30C,12.5,1,
C01T,V30D,13.1,1.1,
